year,data_upper,data_lower
2018,181.1881905,0
2019,183.4024796,0
2020,107.5039799,1.008249313
2021,114.3494621,2.014086545
2022,130.2547156,2.817309084
2023,155.4199431,3.823146317
2024,171.3227845,4.831395629
2025,172.9340537,5.837232862
2026,174.545323,6.843070095
2027,176.3567948,7.648704713
2028,177.965652,8.656954026
2029,179.7795359,9.662791259
2030,181.3883931,10.67104057
2031,182.596845,11.6768778
2032,184.0054995,12.68512712
2033,185.2139515,13.89116696
2034,186.4224034,15.09961889
2035,184.8111342,15.09961889
2036,183.202277,15.29982151
2037,181.3883931,15.5024362
2038,179.7795359,15.70263882
2039,178.1682667,15.90284143
2040,176.5569974,15.90525351
2041,174.7455256,16.30807082
2042,173.1342564,16.30807082
2043,171.5253992,16.50827343
2044,169.7115153,16.91109074
2045,168.1026581,16.91109074
2046,166.4913889,17.11129336
2047,164.8801196,17.11370544
2048,163.0686478,17.51411067
2049,161.4573786,17.71672536
2050,159.8485214,17.71672536